blk_no,street,bldg_contract_town,lat,lon,postal,full_address
103,BT PURMEI RD,BM,1.272085585,103.8254956,90103,103 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090103
103,C'WEALTH CRES,QT,1.30834597,103.800214,140103,103 COMMONWEALTH CRESCENT SINGAPORE 140103
103,CLEMENTI ST 14,CL,1.322588548,103.7691762,120103,103 CLEMENTI STREET 14 SUNSET WAY RESIDENCE SINGAPORE 120103
103,GANGSA RD,BP,1.378670708,103.7685384,670103,103 GANGSA ROAD SINGAPORE 670103
103,HENDERSON CRES,BM,1.289742097,103.8213757,150103,103 HENDERSON CRESCENT SINGAPORE 150103
103,HOUGANG AVE 1,HG,1.355282234,103.8903601,530103,103 HOUGANG AVENUE 1 SINGAPORE 530103
103,JLN RAJAH,KWN,1.327341433,103.8527807,321103,103 JALAN RAJAH SINGAPORE 321103
103,JURONG EAST ST 13,JE,1.33668715,103.7380592,600103,103 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600103
103,LENGKONG TIGA,BD,1.325855463,103.9105989,410103,103 LENGKONG TIGA KEMBANGAN GARDENS SINGAPORE 410103
103,LOR 1 TOA PAYOH,TP,1.34010929,103.8481846,310103,103 LORONG 1 TOA PAYOH TOA PAYOH BLOOM SINGAPORE 310103
103,PASIR RIS ST 12,PRC,1.367695081,103.9584042,510103,103 PASIR RIS STREET 12 SINGAPORE 510103
103,POTONG PASIR AVE 1,TP,1.334113387,103.8695237,350103,103 POTONG PASIR AVENUE 1 SINGAPORE 350103
103,RIVERVALE WALK,SK,1.382911467,103.9012086,540103,103 RIVERVALE WALK PCF SPARKLETOTS PRESCHOOL @ PUNGGOL EAST BLK 103 (KN) SINGAPORE 540103
103,SERANGOON NTH AVE 1,SGN,1.37067353,103.8702639,550103,103 SERANGOON NORTH AVENUE 1 AMAZING STAR MONTESSORI HOUSE (SN) SINGAPORE 550103
103,SPOTTISWOODE PK RD,BM,1.274660969,103.8352798,80103,103 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080103
103,TAMPINES ST 11,TAP,1.347696625,103.9462299,520103,103 TAMPINES STREET 11 SINGAPORE 520103
103,TECK WHYE LANE,CCK,1.377130782,103.753556,680103,103 TECK WHYE LANE SINGAPORE 680103
103,TOWNER RD,KWN,1.320643815,103.8616341,322103,103 TOWNER ROAD SINGAPORE 322103
103,WOODLANDS ST 13,WL,1.436621232,103.7809767,730103,103 WOODLANDS STREET 13 SINGAPORE 730103
103,YISHUN RING RD,YS,1.43136935,103.8288928,760103,103 YISHUN RING ROAD SINGAPORE 760103
103A,BIDADARI PK DR,TP,1.335609604,103.8717276,341103,103A BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 341103
103A,CANBERRA ST,SB,1.451030061,103.830534,751103,103A CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 751103
103A,DEPOT RD,BM,1.280701976,103.8133534,101103,103A DEPOT ROAD DEPOT HEIGHTS SINGAPORE 101103
103A,EDGEFIELD PLAINS,PG,1.398255318,103.904754,821103,103A EDGEFIELD PLAINS SINGAPORE 821103
103B,BIDADARI PK DR,TP,1.335089454,103.8713373,342103,103B BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 342103
103B,CANBERRA ST,SB,1.450565995,103.8312387,752103,103B CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 752103
103B,DEPOT RD,BM,1.280736924,103.8131357,102103,103B DEPOT ROAD DEPOT HEIGHTS SINGAPORE 102103
103B,EDGEFIELD PLAINS,PG,1.397731275,103.9046854,822103,103B EDGEFIELD PLAINS SINGAPORE 822103
103C,EDGEFIELD PLAINS,PG,1.397266608,103.9045384,823103,103C EDGEFIELD PLAINS SINGAPORE 823103
104,ALJUNIED CRES,GL,1.320068866,103.8828181,380104,104 ALJUNIED CRESCENT SINGAPORE 380104
104,BEDOK RESERVOIR RD,BD,1.329245367,103.9099237,470104,104 BEDOK RESERVOIR ROAD EUNOS VISTA SINGAPORE 470104
104,BEDOK NTH AVE 4,BD,1.333298521,103.9366015,460104,104 BEDOK NORTH AVENUE 4 PEARL GARDEN SINGAPORE 460104
104,BISHAN ST 12,BH,1.345675021,103.8480329,570104,104 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570104
104,BT BATOK CTRL,BB,1.348995003,103.7472582,650104,104 BUKIT BATOK CENTRAL SINGAPORE 650104
104,BT PURMEI RD,BM,1.272398536,103.8256255,90104,104 BUKIT PURMEI ROAD BUKIT PURMEI VILLE SINGAPORE 090104
104,C'WEALTH CRES,QT,1.307958753,103.7999769,140104,104 COMMONWEALTH CRESCENT SINGAPORE 140104
104,CLEMENTI ST 14,CL,1.322949685,103.7691892,120104,104 CLEMENTI STREET 14 SUNSET WAY RESIDENCE SINGAPORE 120104
104,GANGSA RD,BP,1.378803995,103.7679688,670104,104 GANGSA ROAD SINGAPORE 670104
104,HENDERSON CRES,BM,1.289369275,103.8215381,150104,104 HENDERSON CRESCENT SINGAPORE 150104
104,HOUGANG AVE 1,HG,1.354784387,103.8903185,530104,104 HOUGANG AVENUE 1 SINGAPORE 530104
104,JLN DUSUN,KWN,1.328425305,103.8441424,320104,104 JALAN DUSUN AH HOOD GARDENS SINGAPORE 320104
104,JLN BT MERAH,BM,1.281025155,103.8244609,160104,104 JALAN BUKIT MERAH TIONG BAHRU ORCHID SINGAPORE 160104
104,JLN RAJAH,KWN,1.32780497,103.8532623,321104,104 JALAN RAJAH SINGAPORE 321104
104,JURONG EAST ST 13,JE,1.336584653,103.7376233,600104,104 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600104
104,LENGKONG TIGA,BD,1.325634967,103.9098152,410104,104 LENGKONG TIGA KEMBANGAN GARDENS SINGAPORE 410104
104,LOR 1 TOA PAYOH,TP,1.340108877,103.8491078,310104,104 LORONG 1 TOA PAYOH TOA PAYOH BLOOM SINGAPORE 310104
104,PASIR RIS ST 12,PRC,1.367952786,103.9587026,510104,104 PASIR RIS STREET 12 SINGAPORE 510104
104,POTONG PASIR AVE 1,TP,1.334339169,103.8691589,350104,104 POTONG PASIR AVENUE 1 SINGAPORE 350104
104,RIVERVALE WALK,SK,1.382627459,103.9009299,540104,104 RIVERVALE WALK RIVERVALE COURT SINGAPORE 540104
104,SERANGOON NTH AVE 1,SGN,1.370593162,103.8710868,550104,104 SERANGOON NORTH AVENUE 1 HWI YOH COURT SINGAPORE 550104
104,SPOTTISWOODE PK RD,BM,1.274427547,103.8348788,80104,104 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080104
104,TAMPINES ST 11,TAP,1.347205767,103.9466418,520104,104 TAMPINES STREET 11 SINGAPORE 520104
104,TECK WHYE LANE,CCK,1.377081621,103.7528704,680104,104 TECK WHYE LANE SINGAPORE 680104
104,TOWNER RD,KWN,1.319823545,103.8609797,322104,104 TOWNER ROAD SINGAPORE 322104
104,WHAMPOA DR,KWN,1.320799591,103.8533278,323104,104 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 323104
104,WOODLANDS ST 13,WL,1.436465871,103.7815769,730104,104 WOODLANDS STREET 13 SINGAPORE 730104
104A,ANG MO KIO ST 11,AMK,1.371827009,103.8388037,560104,104A ANG MO KIO STREET 11 KEBUN BARU HEIGHTS SINGAPORE 560104
104A,BIDADARI PK DR,TP,1.335321978,103.870934,341104,104A BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 341104
